Year,S01,S03,S04,S06,S07,S08,S09,S34,S35
2075,0.520798697,1.03583642,0.783573045,0.414446961,0.570383333,0.88705,1.263716667,0.348666667,0.724333333
2076,0.533580521,1.062565432,0.803470782,0.421620024,0.584693333,0.910693333,1.298026667,0.3561,0.740433333
2077,0.546362346,1.089294444,0.823368519,0.428793087,0.599003333,0.934336667,1.332336667,0.363533333,0.756533333
2078,0.55914417,1.116023457,0.843266255,0.43596615,0.613313333,0.95798,1.366646667,0.370966667,0.772633333
2079,0.571925995,1.142752469,0.863163992,0.443139214,0.627623333,0.981623333,1.400956667,0.3784,0.788733333
2080,0.584707819,1.169481481,0.883061728,0.450312277,0.641933333,1.005266667,1.435266667,0.385833333,0.804833333
2081,0.598704321,1.199105556,0.905031481,0.458622754,0.65691,1.03191,1.47391,0.392816667,0.820716667
2082,0.612700823,1.22872963,0.927001235,0.46693323,0.671886667,1.058553333,1.512553333,0.3998,0.8366
2083,0.626697325,1.258353704,0.948970988,0.475243707,0.686863333,1.085196667,1.551196667,0.406783333,0.852483333
2084,0.640693827,1.287977778,0.970940741,0.483554184,0.70184,1.11184,1.58984,0.413766667,0.868366667
2085,0.654690329,1.317601852,0.992910494,0.49186466,0.716816667,1.138483333,1.628483333,0.42075,0.88425
2086,0.668686831,1.347225926,1.014880247,0.500175137,0.731793333,1.165126667,1.667126667,0.427733333,0.900133333
2087,0.682683333,1.37685,1.03685,0.508485614,0.74677,1.19177,1.70577,0.434716667,0.916016667
2088,0.696679835,1.406474074,1.058819753,0.516796091,0.761746667,1.218413333,1.744413333,0.4417,0.9319
2089,0.710676337,1.436098148,1.080789506,0.525106567,0.776723333,1.245056667,1.783056667,0.448683333,0.947783333
2090,0.72467284,1.465722222,1.102759259,0.533417044,0.7917,1.2717,1.8217,0.455666667,0.963666667
2091,0.739884019,1.498241358,1.126801029,0.541144551,0.807343333,1.302343333,1.86501,0.462916667,0.983683333
2092,0.755095199,1.530760494,1.150842798,0.548872057,0.822986667,1.332986667,1.90832,0.470166667,1.0037
2093,0.770306379,1.56327963,1.174884568,0.556599564,0.83863,1.36363,1.95163,0.477416667,1.023716667
2094,0.785517558,1.595798765,1.198926337,0.56432707,0.854273333,1.394273333,1.99494,0.484666667,1.043733333
2095,0.800728738,1.628317901,1.222968107,0.572054577,0.869916667,1.424916667,2.03825,0.491916667,1.06375
2096,0.815939918,1.660837037,1.247009877,0.579782084,0.88556,1.45556,2.08156,0.499166667,1.083766667
2097,0.831151097,1.693356173,1.271051646,0.58750959,0.901203333,1.486203333,2.12487,0.506416667,1.103783333
2098,0.846362277,1.725875309,1.295093416,0.595237097,0.916846667,1.516846667,2.16818,0.513666667,1.1238
2099,0.861573457,1.758394444,1.319135185,0.602964603,0.93249,1.54749,2.21149,0.520916667,1.143816667
2100,0.876784636,1.79091358,1.343176955,0.61069211,0.948133333,1.578133333,2.2548,0.528166667,1.163833333
