YYYYMMDD HH:MM:SS,MMDD HH,ICM-Hydro compartment->,346,347,348,349,350,351,352,353,354,384,498,572,703,705,726,979,1335,1337,1338,1421,1422,1424
20100101 17:00:00,0101 17,1/1/10 17:00,-0.039811006,-0.09343472,-0.129183862,-0.164933004,-0.218556718,-0.218556718,-0.160660161,-0.102763604,-0.102763604,0.31,0.31,0.31,0.31,0.31,0.31,0.31,-0.169311895,-0.169311895,-0.1231,-0.1231,-0.169311895,-0.169311895
20100101 18:00:00,0101 18,1/1/10 18:00,-0.054671339,-0.09963034,-0.129603008,-0.159575676,-0.204534677,-0.204534677,-0.159960965,-0.115387252,-0.115387252,0.36,0.36,0.36,0.36,0.36,0.36,0.36,-0.145603176,-0.145603176,-0.1901,-0.1901,-0.145603176,-0.145603176
20100101 19:00:00,0101 19,1/1/10 19:00,-0.131444238,-0.162372492,-0.182991328,-0.203610164,-0.234538418,-0.234538418,-0.184380599,-0.13422278,-0.13422278,0.42,0.42,0.42,0.42,0.42,0.42,0.42,-0.156096609,-0.156096609,-0.1691,-0.1691,-0.156096609,-0.156096609
20100101 20:00:00,0101 20,1/1/10 20:00,-0.198746232,-0.205100856,-0.209337272,-0.213573687,-0.219928311,-0.219928311,-0.16546589,-0.111003468,-0.111003468,0.3,0.3,0.3,0.3,0.3,0.3,0.3,-0.114916538,-0.114916538,-0.1305,-0.1305,-0.114916538,-0.114916538
20100101 21:00:00,0101 21,1/1/10 21:00,-0.192810335,-0.19872612,-0.202669977,-0.206613833,-0.212529618,-0.212529618,-0.16241507,-0.112300521,-0.112300521,0.12,0.12,0.12,0.12,0.12,0.12,0.12,-0.102729602,-0.102729602,-0.1401,-0.1401,-0.102729602,-0.102729602
20100101 22:00:00,0101 22,1/1/10 22:00,-0.167042276,-0.173963236,-0.178577209,-0.183191182,-0.190112141,-0.190112141,-0.137383559,-0.084654976,-0.084654976,0.13,0.13,0.13,0.13,0.13,0.13,0.13,-0.150496664,-0.150496664,-0.0423,-0.0423,-0.150496664,-0.150496664
20100101 23:00:00,0101 23,1/1/10 23:00,-0.174403139,-0.175482768,-0.17620252,-0.176922272,-0.178001901,-0.178001901,-0.127426176,-0.076850451,-0.076850451,0.09,0.09,0.09,0.09,0.09,0.09,0.09,-0.051764273,-0.051764273,-0.0247,-0.0247,-0.051764273,-0.051764273
20100102 00:00:00,0102 00,1/2/10 0:00,-0.195609809,-0.19071388,-0.187449927,-0.184185974,-0.179290045,-0.179290045,-0.120666008,-0.062041971,-0.062041971,0.1,0.1,0.1,0.1,0.1,0.1,0.1,-0.026602002,-0.026602002,-0.0009,-0.0009,-0.026602002,-0.026602002
20100102 01:00:00,0102 01,1/2/10 1:00,-0.15471399,-0.163262731,-0.168961891,-0.174661051,-0.183209792,-0.183209792,-0.118375544,-0.053541296,-0.053541296,0.07,0.07,0.07,0.07,0.07,0.07,0.07,-0.099912847,-0.099912847,-0.0366,-0.0366,-0.099912847,-0.099912847
20100102 02:00:00,0102 02,1/2/10 2:00,-0.162239968,-0.170896248,-0.176667102,-0.182437955,-0.191094235,-0.191094235,-0.1200834,-0.049072564,-0.049072564,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-0.141793977,-0.141793977,-0.0649,-0.0649,-0.141793977,-0.141793977
20100102 03:00:00,0102 03,1/2/10 3:00,-0.161129687,-0.168144159,-0.172820474,-0.177496788,-0.18451126,-0.18451126,-0.104111566,-0.023711872,-0.023711872,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.05,-0.152668906,-0.152668906,-0.095,-0.095,-0.152668906,-0.152668906
20100102 04:00:00,0102 04,1/2/10 4:00,-0.122102705,-0.134538694,-0.142829353,-0.151120012,-0.163556001,-0.163556001,-0.072847356,0.01786129,0.01786129,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.110674105,-0.110674105,-0.0932,-0.0932,-0.110674105,-0.110674105
20100102 05:00:00,0102 05,1/2/10 5:00,-0.104252668,-0.120998132,-0.132161775,-0.143325418,-0.160070882,-0.160070882,-0.058988854,0.042093174,0.042093174,0.21,0.21,0.21,0.21,0.21,0.21,0.21,-0.159229193,-0.159229193,-0.1324,-0.1324,-0.159229193,-0.159229193
20100102 06:00:00,0102 06,1/2/10 6:00,-0.0165293,-0.05701454,-0.0840047,-0.110994859,-0.151480099,-0.151480099,-0.03508923,0.08130164,0.08130164,0.18,0.18,0.18,0.18,0.18,0.18,0.18,-0.152568046,-0.152568046,-0.1288,-0.1288,-0.152568046,-0.152568046
20100102 07:00:00,0102 07,1/2/10 7:00,-0.010924742,-0.053852994,-0.082471829,-0.111090663,-0.154018915,-0.154018915,-0.040813535,0.072391846,0.072391846,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-0.115527036,-0.115527036,-0.1128,-0.1128,-0.115527036,-0.115527036
20100102 08:00:00,0102 08,1/2/10 8:00,0.013328352,-0.037224937,-0.07092713,-0.104629322,-0.155182611,-0.155182611,-0.044635562,0.065911487,0.065911487,0.17,0.17,0.17,0.17,0.17,0.17,0.17,-0.018506273,-0.018506273,-0.0407,-0.0407,-0.018506273,-0.018506273
20100102 09:00:00,0102 09,1/2/10 9:00,-0.011221361,-0.04680401,-0.070525776,-0.094247541,-0.12983019,-0.12983019,-0.015266481,0.099297228,0.099297228,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.055830066,0.055830066,0.0087,0.0087,0.055830066,0.055830066
20100102 10:00:00,0102 10,1/2/10 10:00,0.00950331,-0.052435747,-0.093728452,-0.135021157,-0.196960214,-0.196960214,-0.058907856,0.079144502,0.079144502,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.047628182,0.047628182,-0.0267,-0.0267,0.047628182,0.047628182
20100102 11:00:00,0102 11,1/2/10 11:00,0.04334027,-0.029402211,-0.077897199,-0.126392186,-0.199134667,-0.199134667,-0.048830218,0.101474231,0.101474231,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.008949792,0.008949792,0.0394,0.0394,0.008949792,0.008949792
20100102 12:00:00,0102 12,1/2/10 12:00,-0.002084326,-0.045592347,-0.074597694,-0.103603041,-0.147111061,-0.147111061,-0.028521482,0.090068098,0.090068098,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.068621278,0.068621278,0.0536,0.0536,0.068621278,0.068621278
20100102 13:00:00,0102 13,1/2/10 13:00,-0.066619799,-0.104107017,-0.129098496,-0.154089975,-0.191577193,-0.191577193,-0.049220941,0.093135312,0.093135312,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.019849797,0.019849797,0.034,0.034,0.019849797,0.019849797
20100102 14:00:00,0102 14,1/2/10 14:00,-0.098157857,-0.125583665,-0.143867537,-0.162151409,-0.189577217,-0.189577217,-0.046591339,0.096394539,0.096394539,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.036816088,0.036816088,0.0213,0.0213,0.036816088,0.036816088
20100102 15:00:00,0102 15,1/2/10 15:00,-0.16679678,-0.174572458,-0.179756243,-0.184940028,-0.192715705,-0.192715705,-0.059406494,0.073902717,0.073902717,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.042230272,0.042230272,0.0076,0.0076,0.042230272,0.042230272
20100102 16:00:00,0102 16,1/2/10 16:00,-0.210122129,-0.205059578,-0.201684544,-0.19830951,-0.193246959,-0.193246959,-0.099940909,-0.006634858,-0.006634858,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.037995409,0.037995409,-0.0289,-0.0289,0.037995409,0.037995409
20100102 17:00:00,0102 17,1/2/10 17:00,-0.21351922,-0.202461708,-0.195090033,-0.187718358,-0.176660845,-0.176660845,-0.102500849,-0.028340852,-0.028340852,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.108671282,0.108671282,0.0198,0.0198,0.108671282,0.108671282
20100102 18:00:00,0102 18,1/2/10 18:00,-0.195329676,-0.195104079,-0.194953681,-0.194803283,-0.194577686,-0.194577686,-0.103657065,-0.012736444,-0.012736444,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.098308329,0.098308329,0.0605,0.0605,0.098308329,0.098308329
20100102 19:00:00,0102 19,1/2/10 19:00,-0.206564631,-0.204416771,-0.202984865,-0.201552958,-0.199405098,-0.199405098,-0.108486392,-0.017567686,-0.017567686,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.154060974,0.154060974,0.1302,0.1302,0.154060974,0.154060974
20100102 20:00:00,0102 20,1/2/10 20:00,-0.254715984,-0.235741617,-0.223092039,-0.21044246,-0.191468093,-0.191468093,-0.123681549,-0.055895004,-0.055895004,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.180419152,0.180419152,0.1339,0.1339,0.180419152,0.180419152
20100102 21:00:00,0102 21,1/2/10 21:00,-0.21304131,-0.199554464,-0.190563234,-0.181572004,-0.168085158,-0.168085158,-0.10380739,-0.039529622,-0.039529622,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.118019127,0.118019127,0.0886,0.0886,0.118019127,0.118019127
20100102 22:00:00,0102 22,1/2/10 22:00,-0.24110164,-0.2252828,-0.214736906,-0.204191012,-0.188372172,-0.188372172,-0.100478747,-0.012585321,-0.012585321,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.106894618,0.106894618,0.0937,0.0937,0.106894618,0.106894618
