month,wet,normal,dry
1,2017,2011,2022
2,2012,2019,2022
3,2012,2017,2019
4,2016,2014,2022
5,2019,2020,2012
6,2019,2018,2011
7,2011,2014,2016
8,2022,2018,2015
9,2008,2014,2022
10,2015,2021,2010
11,2010,2008,2012
12,2006,2014,2011
