month,wet,normal,dry
1,1990,1984,2022
2,1983,2019,2002
3,2012,2011,1981
4,1993,2014,1986
5,2004,1984,2018
6,2021,2015,2011
7,1989,1982,1980
8,1988,2018,2004
9,2024,1986,2004
10,2004,2021,2000
11,1997,1990,1988
12,2006,1997,1984
