Station ID,Station,Donor,RC,Kind,eval_at,N_hist_RC,R_hist_RC,R2_hist_RC,RMSE_pct_hist_RC,NSE_hist_RC,Bias_pct_hist_RC,N_full_RC,R_full_RC,R2_full_RC,RMSE_pct_full_RC,NSE_full_RC,Bias_pct_full_RC,Correlation Type (from RC),Correlation Station,R (HIST),R (FULL),R (2017 CMP),prefer_dv
07381490,"Atchafalaya River at Simmesport, LA",01100,0.3 * (Q / 0.7),Q,target_station,1661,0.9960207531910813,0.9920573407873289,5.078510902150995,0.9912784702173784,-0.25092186664198746,5250,0.9947039048118123,0.9894358582478668,5.618945289478715,0.9892369438261398,0.03863119797358949,Q-Q,01100,0.9960207531910814,0.9947039048118121,,False
02470629,"Mobile River at River Mile 31 at Bucks, AL",02470629,-104.8 * H**2 + 1039 * H + 22.83,H,target_station,2335,0.8913907597795449,0.7945774866203542,35.50286358625544,0.7737495319798011,3.7165396468542418,6405,0.8821081648400746,0.7781148144775242,35.287302306686385,0.7467054408538987,7.989676583026726,Q-H,02470629,0.8592980025870482,0.8364786569227759,0.923,False
02471019,"Tensaw River near Mount Vernon, AL",02470629,0.000184 * Q**2 + 0.6388 * H + 32.7,HQ,target_station,2355,0.9840501326634165,0.9683546635948875,90.24549654494412,-0.2471868461210236,-71.86581957384095,6425,0.9833610822639062,0.9669990181112409,87.31979015753532,-0.2660241501966969,-70.88125997827045,Q-H,02470629,0.8651834344972943,0.8467399389891728,1.0,False
07381000,"Bayou Lafourche at Thibodeaux, LA",07381000,3.62 * H**2 - 2.359 * H + 2.392,H,target_station,2828,0.4886605246328724,0.2387891083344741,32.50208384491732,0.2387475149055026,0.08598705949757113,6753,0.24854792065533865,0.06177606886209252,60.21391348673536,-0.8753240154335324,-42.48753454927065,Q-H,07381000,0.4705736890866591,0.18706313001321626,0.46,False
07381235,"GIWW West of Bayou Lafourche at Larose, LA",07381331,0.0009914 * Q**2 + 0.4895 * H + 9.37,HQ,target_station,2289,0.5029753393374412,0.25298419198161415,99.03477908863893,-0.22206471299595965,-51.189198406175194,3920,0.5969804894393815,0.3563857047712835,98.3073242643106,-0.37352789694034105,-59.27986048321767,Q-H,07381331,-0.13237444167708745,0.0384579109267721,0.63,False
07385790,"Charenton Drainage Canal at Baldwin, LA",07385765,-0.1165 * Q**2 + 13.57 * H - 75.82,HQ,target_station,2373,-0.3993433734134985,0.1594751298892729,233.44066606937776,-2.783221758479463,-174.84731633163557,4288,-0.36934457966312384,0.13641541852652964,249.48284908178456,-3.463272009627625,-180.70330282204014,Q-H,07385765,0.3053215203629856,0.36642584378648113,0.684,False
07386980,"Vermilion River at Perry, LA",07386880,0.9284 * Q + 10.26,Q,target_station,2721,0.3640615106670682,0.13254078354918783,83.93076771096626,0.1214882056120159,-1.426875347520797,6549,0.2881426193997769,0.0830261691145647,85.93154158083678,0.034522212741327496,-8.364845866129114,Q-Q,07386880,0.364061510667068,0.2881426193997769,0.49,False
08012150,"Mermentau River at Mermentau, LA",08012150,71.16 * H**2 + 179.2 * H - 110,H,target_station,2797,0.8419425893848884,0.7088673238201308,93.72800116184983,0.7088020188844109,-0.11185693366156085,6715,0.8305730048221481,0.6898515163392921,93.09869973154241,0.6480125149597216,31.00043325421629,Q-H,08012150,0.8270427982240788,0.8042240045069666,0.83,False
08012470,"Bayou Lacassine near Lake Arthur, LA",08012150,-7.014e-05 * Q**2 + 0.2057 * H + 2.266,HQ,target_station,0,,,,,,753,-0.6775669176256369,0.45909692786070666,160.08539185713448,-0.5837181515244143,-84.18008280438355,Q-H,08012150,,0.7245160501667486,0.69,False
08015500,"Calcasieu River near Kinder, LA",08013000,10.3361 * Q**0.6557,Q,target_station,2883,0.8311876502484842,0.6908729099255965,114.31426860439515,0.6698658779901326,-4.959393843869812,4426,0.7436251709803855,0.5529783949156075,120.36898219973818,0.5504966315053068,-7.763317671501811,Q-Q,08013000,0.8157882187365431,0.6278172315724297,,False
08041780,"Neches River at Beaumont, TX",08041000,1.533 * Q - 13.83,Q,target_station,3069,0.9087233481389275,0.8257781234528224,56.13589192336912,0.8229411557200059,-0.33192777500307563,7167,0.9123223353126586,0.8323320435103431,55.05989721796651,0.8298594008635389,6.608679002310802,Q-Q,08041000,0.9087233481389273,0.9123223353126586,0.9,False
