1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
0.0000,54.4192,0.0000,49.5415,0.0000,0.0000,46.9235,0.0000,0.0000,313.1052,37.7497,0.0000,45.2636,21.6228,14.2329,23.7702,27.1708,23.8420,29.9123,59.9741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4044,0.0000,0.0371,0.0000,0.3144,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1121,0.0000,2.8481,0.0000,3.9668,5.7878,3.0619,3.1445,1.6808,6.7697,5.0830,16.0454,0.0000,inf,0.0000,! 2006-01-01
0.0000,54.9898,0.0000,49.2843,0.0000,0.0000,45.7220,46.7219,0.0000,317.2725,36.5630,0.0000,45.2407,21.5324,14.2580,23.5623,27.1304,23.7625,29.6939,57.8156,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3877,0.0000,0.0359,0.0000,0.3048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0802,0.0000,2.7587,0.0000,3.7919,5.6421,2.9465,3.1401,1.4211,6.6855,4.9435,15.5052,0.0000,inf,0.0000,! 2006-01-02
0.0000,54.2457,0.0000,48.9920,0.0000,44.2241,47.4404,61.5910,0.0000,317.8853,36.3930,0.0000,45.2636,21.4014,14.0345,23.4566,26.4001,23.7361,29.4227,56.3939,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3852,0.0000,0.0358,0.0000,0.3034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0757,0.0000,2.7459,0.0000,3.7668,5.6213,2.9300,3.1395,1.3834,6.6735,4.9235,15.4278,0.0000,inf,0.0000,! 2006-01-03
0.0000,53.4960,0.0000,48.8110,0.0000,0.0000,46.4763,52.9299,0.0000,316.6642,36.7329,0.0000,45.2177,21.3351,13.6927,23.4032,24.7157,23.6422,29.0973,55.3843,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3901,0.0000,0.0361,0.0000,0.3062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0848,0.0000,2.7715,0.0000,3.8170,5.6630,2.9630,3.1407,1.4587,6.6975,4.9634,15.5825,0.0000,inf,0.0000,! 2006-01-04
0.0000,54.1122,0.0000,48.5998,0.0000,51.6192,47.1806,63.3203,0.0000,314.2746,37.4113,0.0000,44.4987,21.2413,13.6850,23.2952,24.3833,23.4786,28.8027,53.3270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3997,0.0000,0.0368,0.0000,0.3117,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1030,0.0000,2.8226,0.0000,3.9169,5.7463,3.0290,3.1432,1.6073,6.7457,5.0432,15.8913,0.0000,inf,0.0000,! 2006-01-05
0.0000,53.6925,0.0000,48.4295,0.0000,50.0406,45.9861,63.1348,0.0000,310.8153,38.4251,0.0000,44.8340,21.1464,13.5924,23.1861,24.3001,23.3118,28.5049,50.9853,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4137,0.0000,0.0378,0.0000,0.3197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1302,0.0000,2.8990,0.0000,4.0661,5.8708,3.1276,3.1470,1.8263,6.8177,5.1625,16.3529,0.0000,inf,0.0000,! 2006-01-06
0.0000,53.9293,0.0000,48.3423,0.0000,0.0000,44.4178,0.0000,0.0000,307.4967,39.4345,0.0000,44.9082,21.1328,13.5033,23.1310,24.3001,23.1986,28.2393,49.3572,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4271,0.0000,0.0387,0.0000,0.3275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1574,0.0000,2.9751,0.0000,4.2145,5.9950,3.2257,3.1508,2.0412,6.8897,5.2814,16.8124,0.0000,inf,0.0000,! 2006-01-07
0.0000,53.6925,0.0000,48.0981,0.0000,0.0000,47.6393,0.0000,0.0000,303.2742,40.7740,0.0000,45.1009,21.1053,13.5768,23.0756,24.3833,23.1704,28.1145,48.4899,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4444,0.0000,0.0401,0.0000,0.3374,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1934,0.0000,3.0761,0.0000,4.4111,6.1600,3.3558,3.1558,2.3222,6.9855,5.4393,17.4222,0.0000,inf,0.0000,! 2006-01-08
0.0000,54.3763,0.0000,47.8833,0.0000,0.0000,48.0585,0.0000,0.0000,301.2439,41.4410,0.0000,45.2407,21.0916,13.7155,23.0756,24.4250,23.1133,28.0428,48.0124,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4527,0.0000,0.0407,0.0000,0.3422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2114,0.0000,3.1264,0.0000,4.5088,6.2422,3.4206,3.1583,2.4607,7.0334,5.5180,17.7259,0.0000,inf,0.0000,! 2006-01-09
0.0000,53.7884,0.0000,47.7445,0.0000,44.1673,48.7415,0.0000,0.0000,296.8582,42.9355,0.0000,45.3318,21.0779,13.7934,23.0756,24.7157,23.1558,28.0249,47.5317,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4708,0.0000,0.0422,0.0000,0.3527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2517,0.0000,3.2391,0.0000,4.7277,6.4267,3.5656,3.1639,2.7678,7.1409,5.6944,18.4063,0.0000,inf,0.0000,! 2006-01-10
0.0000,52.9901,0.0000,47.6594,0.0000,0.0000,48.7390,56.7657,0.0000,292.2583,44.5862,0.0000,45.2864,21.0503,13.6723,23.0195,24.8399,23.1704,27.9171,45.9052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4899,0.0000,0.0438,0.0000,0.3638,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.2962,0.0000,3.3637,0.0000,4.9690,6.6307,3.7257,3.1702,3.1028,7.2600,5.8895,19.1578,0.0000,inf,0.0000,! 2006-01-11
0.0000,53.6440,0.0000,47.6451,0.0000,0.0000,48.7531,0.0000,0.0000,285.4293,47.2069,0.0000,45.3543,21.0380,13.5481,23.0195,24.9641,23.0701,27.8449,43.2190,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5187,0.0000,0.0464,0.0000,0.3805,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.3669,0.0000,3.5616,0.0000,5.3513,6.9552,3.9797,3.1802,3.6273,7.4501,6.1996,20.3510,0.0000,inf,0.0000,! 2006-01-12
0.0000,53.3952,0.0000,47.6737,0.0000,47.9918,48.7298,59.8437,0.0000,282.6260,48.3460,0.0000,45.5523,21.3617,23.5327,23.0756,25.5411,23.5608,28.4696,41.9207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,inf,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5307,0.0000,0.0475,0.0000,0.3875,0.0000,0.0000,0.0000,0.0000,0.0025,0.0000,0.0000,0.0000,1.3977,0.0000,3.6476,0.2196,5.5172,7.0964,4.0900,3.1846,3.8528,7.5330,6.3345,20.7794,0.0000,inf,0.0000,! 2006-01-13
