1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,yyyy-mm-dd
18.8024,35.6792,0.0,13.8186,0.0,-28.6,7.9853,-19.7368,0.0,2330.0681,5436.8256,0.0,5.5501,12.7709,0.1665,3.5113,14.9796,1.3705,24.4657,147.8137,4.3891,1.212,112.7009,0,687.3117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/1/2006
30.2638,39.6435,0.0,13.1107,0.0,-10.3356,6.1447,7.6455,0.0,2245.1177,5238.608,0.0,5.5218,12.5727,0.1676,3.398,14.9513,1.3535,24.0976,139.0355,4.2758,1.2148,105.3385,0,533.3587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/2/2006
30.0158,34.5465,0.0,12.3461,0.0,4.3891,8.9198,124.5939,0.0,2232.9819,5210.2912,0.0,5.5501,12.2895,0.158,3.3414,14.4416,1.3479,23.6445,133.3721,4.1909,1.1638,98.8256,0,512.0621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/3/2006
23.1348,30.0158,0.0,11.8931,0.0,-1.6679,7.2491,26.9576,0.0,2257.2535,5266.9248,0.0,5.4935,12.1479,0.1441,3.3131,13.2806,1.3281,23.1065,129.4078,3.9644,1.0704,94.2949,0,470.3538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/4/2006
27.5522,33.697,0.0,11.3834,0.0,20.9261,8.4384,164.8038,0.0,2305.7966,5380.192,0.0,4.6723,11.9497,0.1438,3.2564,13.054,1.2941,22.6251,121.4791,3.7378,0.9798,90.0474,0,524.2738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/5/2006
23.3357,31.1485,0.0,10.9869,0.0,15.2911,6.5129,159.9899,0.0,2378.6112,5550.0928,0.0,5.0404,11.7515,0.1402,3.1998,12.9974,1.2601,22.1437,112.7009,3.483,0.8382,86.3662,0,591.9391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/6/2006
1.6374,32.5643,0.0,10.7887,0.0,-6.9942,4.5873,-135.9206,0.0,2451.4258,5719.9936,0.0,5.1253,11.7232,0.1368,3.1715,12.9974,1.2374,21.719,106.7543,3.3131,0.7702,83.2514,0,494.3051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/7/2006
5.9206,31.1485,0.0,10.2507,0.0,-18.4626,9.3048,-40.2099,0.0,2548.512,5946.528,0.0,5.3519,11.6665,0.1396,3.1432,13.054,1.2318,21.5208,103.6395,3.1715,0.7702,80.7029,0,498.9066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/8/2006
-0.705,35.396,0.0,9.7976,0.0,-7.419,10.1657,-23.0499,0.0,2597.0551,6059.7952,0.0,5.5218,11.6382,0.145,3.1432,13.0824,1.2205,21.4075,101.9405,3.1432,0.7589,78.7207,0,519.1413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/9/2006
16.4447,31.7148,0.0,9.5144,0.0,4.3325,11.7232,-29.1663,0.0,2706.277,6314.6464,0.0,5.6351,11.6099,0.1481,3.1432,13.2806,1.2289,21.3792,100.2415,3.1432,0.7504,77.588,0,462.1066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/10/2006
13.8558,27.2691,0.0,9.3445,0.0,-2.5089,11.717,54.6514,0.0,2827.6347,6597.8144,0.0,5.5784,11.5533,0.1433,3.1148,13.3655,1.2318,21.2093,94.5781,3.1715,0.7674,76.4554,0,404.0276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/11/2006
-4.7932,30.8653,0.0,9.3162,0.0,-5.6634,11.7515,-34.2633,0.0,3021.8071,7050.8832,0.0,5.6634,11.5281,0.1385,3.1148,13.4505,1.212,21.096,85.5167,3.1432,0.773,75.3227,0,347.8247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/12/2006
14.923,29.4495,0.0,9.3729,0.0,10.0241,11.6948,93.1623,0.0,3106.7575,7249.1008,0.0,5.9182,12.2045,1.0886,3.1432,13.8469,1.3111,22.0871,81.2692,3.7095,1.1667,80.1365,0,347.7362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/13/2006
10.9869,30.8653,0.0,9.2596,0.0,12.7992,15.9424,162.8216,0.0,3264.5225,7617.2192,0.0,5.805,18.1758,2.0388,3.9927,15.1778,1.631,25.4568,89.4811,7.1358,2.9733,89.1979,0,519.2593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/14/2006
-2.2367,29.4495,0.0,9.4012,0.0,-3.2847,12.578,-41.0594,0.0,3398.016,7928.704,0.0,5.5784,17.1202,0.6796,4.3042,15.7158,2.0501,25.7683,97.9761,10.0241,2.6221,89.7643,0,599.8237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/15/2006
-4.4174,33.9802,0.0,8.6649,0.0,-12.0346,11.6665,-79.8534,0.0,3519.3737,8211.872,0.0,5.6067,14.2428,0.623,3.8794,14.8097,1.7641,23.9277,100.5246,7.1925,1.9992,89.7643,0,754.9377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1/16/2006
